Figure Order,Figure 1
Figure Title,The Peak in Annual Births Is in the Past
Source,"Historical data through 1949 are replicated from Spears et al. (2024) (see Weston 2024), which itself draws on sources compiled by Our World in Data (Mathieu and Rods-Guirao 2022). Data from 1950 to 2100 are estimates and projections from the 2024 UN World Population Prospects (United Nations 2024). Beyond 2100 are cohort-component projections from Spears et al. (2024) that extend the UN Medium projection in a scenario in which the global average total fertility rate converges to 1.5."
Note,The figure displays the worldwide count of annual births.

year,BirthsPerYearMillions,inplotlabel
1700,32.409943,
1710,32.978992,
1720,33.9426,
1730,34.471069,
1740,35.407051,
1750,37.28323,
1760,38.134109,
1770,39.154427,
1780,41.66761,
1790,42.60154,
1800,44.038963,
1801,44.069633,
1802,44.125916,
1803,44.183552,
1804,44.242554,
1805,44.302917,
1806,44.364658,
1807,44.42778,
1808,44.492298,
1809,44.558212,
1810,44.724205,
1811,44.836472,
1812,45.004028,
1813,45.199673,
1814,45.401634,
1815,45.61005,
1816,45.825062,
1817,46.04681,
1818,46.275471,
1819,46.49807,
1820,46.744686,
1821,46.912933,
1822,47.103107,
1823,47.306595,
1824,47.513195,
1825,47.723099,
1826,47.938217,
1827,48.156582,
1828,48.378227,
1829,48.57988,
1830,48.794556,
1831,48.921452,
1832,49.060143,
1833,49.177582,
1834,49.296787,
1835,49.417793,
1836,49.540634,
1837,49.665337,
1838,49.791943,
1839,49.914795,
1840,50.069645,
1841,50.149971,
1842,50.262653,
1843,50.37215,
1844,50.484207,
1845,50.598862,
1846,50.716164,
1847,50.836166,
1848,50.958916,
1849,51.049583,
1850,51.147926,
1851,51.241764,
1852,51.344204,
1853,51.41621,
1854,51.49271,
1855,51.573765,
1856,51.659424,
1857,51.749756,
1858,51.844833,
1859,51.95499,
1860,52.126209,
1861,52.219631,
1862,52.373882,
1863,52.542252,
1864,52.714024,
1865,52.888931,
1866,53.066963,
1867,53.248425,
1868,53.433277,
1869,53.641602,
1870,53.92617,
1871,54.127438,
1872,54.407646,
1873,54.71114,
1874,55.017647,
1875,55.328297,
1876,55.6423,
1877,55.958496,
1878,56.277561,
1879,56.618259,
1880,57.039948,
1881,57.370159,
1882,57.782372,
1883,58.218582,
1884,58.660301,
1885,59.109776,
1886,59.563835,
1887,60.024391,
1888,60.490391,
1889,60.947327,
1890,61.458481,
1891,61.83411,
1892,62.262497,
1893,62.681049,
1894,63.105339,
1895,63.535904,
1896,63.970226,
1897,64.410606,
1898,64.856224,
1899,65.328796,
1900,65.896202,
1901,66.155418,
1902,66.507896,
1903,66.884262,
1904,67.265175,
1905,67.650795,
1906,68.041245,
1907,68.437439,
1908,68.83934,
1909,69.215065,
1910,69.641876,
1911,69.885185,
1912,70.183319,
1913,70.455986,
1914,70.7341,
1915,71.015602,
1916,71.298058,
1917,71.582001,
1918,71.870552,
1919,72.187912,
1920,72.622124,
1921,72.910194,
1922,73.308884,
1923,73.730782,
1924,74.15976,
1925,74.595825,
1926,75.038208,
1927,75.48687,
1928,75.943092,
1929,76.421394,
1930,77.014961,
1931,77.448349,
1932,77.996094,
1933,78.564674,
1934,79.139099,
1935,79.719543,
1936,80.309464,
1937,80.907753,
1938,81.514915,
1939,82.085075,
1940,82.704742,
1941,83.078018,
1942,83.507286,
1943,83.890083,
1944,84.270912,
1945,84.643608,
1946,85.009216,
1947,85.419342,
1948,85.882004,
1949,86.533974,
1950,91.823936,
1951,92.507126,
1952,97.371452,
1953,97.291458,
1954,100.18786,
1955,101.74797,
1956,101.75902,
1957,106.01774,
1958,104.64416,
1959,101.99984,
1960,102.37808,
1961,100.95094,
1962,112.03871,
1963,119.80289,
1964,117.2922,
1965,117.83701,
1966,117.23295,
1967,116.92027,
1968,121.82589,
1969,122.22797,
1970,124.1359,
1971,123.73968,
1972,123.55402,
1973,123.56393,
1974,122.70941,
1975,121.0301,
1976,121.32235,
1977,120.78652,
1978,122.14065,
1979,125.0003,
1980,127.44698,
1981,129.71584,
1982,133.2065,
1983,131.96771,
1984,134.36526,
1985,136.37395,
1986,139.30116,
1987,141.34656,
1988,140.98595,
1989,142.24902,
1990,143.46143,
1991,138.30687,
1992,136.59125,
1993,135.63214,
1994,135.14291,
1995,134.85005,
1996,134.32103,
1997,133.98567,
1998,133.85753,
1999,134.05867,
2000,135.75848,
2001,135.38,
2002,135.39648,
2003,135.70081,
2004,136.59631,
2005,137.16646,
2006,138.4693,
2007,139.93579,
2008,141.75871,
2009,142.96832,
2010,143.35423,
2011,143.87878,
2012,146.05489,
2013,145.01479,
2014,145.26825,
2015,144.33395,
