Figure Order,Figure 2
Figure Title,Global Fertility Has Been Declining to Below-Replacement Levels
Source,Data are from the UN World Population Prospects 2024 (United Nations 2024).
Note,"Figure displays, for 1950 to 2023, the worldwide period total fertility rate (left axis) and the fraction of the world population residing in a country with a fertility rate below 2 (right axis). We follow the UN World Population Prospects convention of including UN member states as well as territories, regions, and other designations, such as Taiwan."

year,TFR,FractionPopTFRsub2,
1950,4.852,0.00012004,
1951,4.816,0.000118591,
1952,5.001,0.000759075,
1953,4.922,0.000750575,
1954,4.998,0.000764747,
1955,5.003,0.000776151,
1956,4.931,0.001172227,
1957,5.068,0.001138353,
1958,4.932,0.001126227,
1959,4.74,0.001116629,
1960,4.696,0.033207107,
1961,4.571,0.036247116,
1962,5.022,0.035952441,
1963,5.308,0.041370127,
1964,5.123,0.040758908,
1965,5.071,0.023496123,
1966,4.961,0.03974545,
1967,4.852,0.003881763,
1968,4.963,0.040132668,
1969,4.866,0.047636636,
1970,4.825,0.014255717,
1971,4.679,0.033063307,
1972,4.545,0.036295772,
1973,4.416,0.10069083,
1974,4.259,0.11220811,
1975,4.08,0.15273297,
1976,3.974,0.18366432,
1977,3.85,0.20714895,
1978,3.787,0.21051368,
1979,3.771,0.21124743,
1980,3.744,0.21205692,
1981,3.711,0.21254633,
1982,3.712,0.18826157,
1983,3.581,0.17574933,
1984,3.553,0.18399596,
1985,3.515,0.18666807,
1986,3.504,0.18277295,
1987,3.476,0.18140861,
1988,3.39,0.17917067,
1989,3.347,0.14020301,
1990,3.31,0.17076255,
1991,3.131,0.38528267,
1992,3.044,0.39170322,
1993,2.98,0.40130189,
1994,2.933,0.44625095,
1995,2.889,0.44305471,
1996,2.846,0.44090983,
1997,2.809,0.43969268,
1998,2.776,0.4414328,
1999,2.75,0.45008853,
2000,2.754,0.39917433,
2001,2.714,0.3981652,
2002,2.684,0.39738169,
2003,2.659,0.40408164,
2004,2.647,0.42983139,
2005,2.63,0.42660916,
2006,2.625,0.42259157,
2007,2.623,0.42027009,
2008,2.626,0.41474539,
2009,2.621,0.45791945,
2010,2.602,0.44601616,
2011,2.588,0.45911825,
2012,2.607,0.45528844,
2013,2.572,0.45249811,
2014,2.564,0.43692026,
2015,2.537,0.42349806,
2016,2.536,0.426294,
2017,2.504,0.43771389,
2018,2.437,0.44634455,
2019,2.397,0.46028662,
2020,2.322,0.47622004,
2021,2.291,0.49200991,
2022,2.265,0.66650885,
2023,2.251,0.6707744,
