Figure Order,Figure 3
Figure Title,Period Total Fertility Often Varies More Than Completed Cohort Fertility
Source,TFR data are from the UN World Population Prospects 2024 (United Nations 2024). Completed cohort fertility data are from the Human Fertility Database (Human Fertility Database 2023).
Note,"Figure displays period total fertility rates (TFRs) and completed cohort fertility (CCF) for a select group of countries where sufficient CCF data were available. Cohorts are plotted at their date of birth plus 30 years. For example, the CCF for the 1970 birth cohort is plotted at 2000. We plot the full range of available cohort years from the HFD, which differ by country."

ISO3Alphacode,year,PeriodTFR,CCF,country_name
AUT,1960,2.689,,Austria
AUT,1961,2.787,,Austria
AUT,1962,2.801,,Austria
AUT,1963,2.817,,Austria
AUT,1964,2.779,,Austria
AUT,1965,2.697,,Austria
AUT,1966,2.672,2.436,Austria
AUT,1967,2.629,2.41,Austria
AUT,1968,2.585,2.339,Austria
AUT,1969,2.484,2.202,Austria
AUT,1970,2.294,2.132,Austria
AUT,1971,2.194,2.065,Austria
AUT,1972,2.077,2.037,Austria
AUT,1973,1.931,1.983,Austria
AUT,1974,1.902,1.953,Austria
AUT,1975,1.823,1.938,Austria
AUT,1976,1.681,1.986,Austria
AUT,1977,1.623,1.931,Austria
AUT,1978,1.597,1.916,Austria
AUT,1979,1.597,1.908,Austria
AUT,1980,1.651,1.863,Austria
AUT,1981,1.672,1.835,Austria
AUT,1982,1.661,1.812,Austria
AUT,1983,1.563,1.817,Austria
AUT,1984,1.526,1.784,Austria
AUT,1985,1.479,1.768,Austria
AUT,1986,1.455,1.746,Austria
AUT,1987,1.44,1.73,Austria
AUT,1988,1.457,1.713,Austria
AUT,1989,1.455,1.714,Austria
AUT,1990,1.467,1.698,Austria
AUT,1991,1.516,1.676,Austria
AUT,1992,1.516,1.675,Austria
AUT,1993,1.512,1.667,Austria
AUT,1994,1.474,1.652,Austria
AUT,1995,1.431,1.657,Austria
AUT,1996,1.448,1.64,Austria
AUT,1997,1.395,1.626,Austria
AUT,1998,1.371,1.61,Austria
AUT,1999,1.344,1.615,Austria
AUT,2000,1.364,1.624,Austria
AUT,2001,1.331,1.634,Austria
AUT,2002,1.389,1.651,Austria
AUT,2003,1.373,1.661,Austria
AUT,2004,1.415,1.661,Austria
AUT,2005,1.406,1.652,Austria
AUT,2006,1.404,1.642,Austria
AUT,2007,1.381,1.635,Austria
AUT,2008,1.411,1.639,Austria
AUT,2009,1.393,1.624,Austria
AUT,2010,1.44,,Austria
AUT,2011,1.43,,Austria
AUT,2012,1.44,,Austria
AUT,2013,1.436,,Austria
AUT,2014,1.464,,Austria
AUT,2015,1.492,,Austria
AUT,2016,1.531,,Austria
AUT,2017,1.521,,Austria
AUT,2018,1.479,,Austria
AUT,2019,1.464,,Austria
AUT,2020,1.439,,Austria
AUT,2021,1.469,,Austria
AUT,2022,1.41,,Austria
AUT,2023,1.317,,Austria
BEL,1960,2.533,,Belgium
BEL,1961,2.622,,Belgium
BEL,1962,2.595,,Belgium
BEL,1963,2.676,,Belgium
BEL,1964,2.702,,Belgium
BEL,1965,2.612,2.274,Belgium
BEL,1966,2.519,2.235,Belgium
BEL,1967,2.409,2.22,Belgium
BEL,1968,2.311,2.186,Belgium
BEL,1969,2.278,2.149,Belgium
BEL,1970,2.254,2.183,Belgium
BEL,1971,2.208,2.141,Belgium
BEL,1972,2.091,2.088,Belgium
BEL,1973,1.953,2.034,Belgium
BEL,1974,1.838,1.989,Belgium
BEL,1975,1.749,1.942,Belgium
BEL,1976,1.738,1.899,Belgium
BEL,1977,1.725,1.88,Belgium
BEL,1978,1.71,1.87,Belgium
BEL,1979,1.707,1.849,Belgium
BEL,1980,1.693,1.867,Belgium
BEL,1981,1.668,1.834,Belgium
BEL,1982,1.612,1.844,Belgium
BEL,1983,1.562,1.834,Belgium
BEL,1984,1.531,1.836,Belgium
BEL,1985,1.504,1.835,Belgium
BEL,1986,1.537,1.855,Belgium
BEL,1987,1.538,1.837,Belgium
BEL,1988,1.568,1.848,Belgium
BEL,1989,1.585,1.849,Belgium
BEL,1990,1.625,1.872,Belgium
BEL,1991,1.656,1.847,Belgium
BEL,1992,1.648,1.851,Belgium
BEL,1993,1.606,1.828,Belgium
BEL,1994,1.563,1.825,Belgium
BEL,1995,1.564,1.821,Belgium
BEL,1996,1.591,1.815,Belgium
BEL,1997,1.603,1.823,Belgium
BEL,1998,1.594,1.824,Belgium
BEL,1999,1.614,1.827,Belgium
BEL,2000,1.663,1.824,Belgium
BEL,2001,1.666,1.822,Belgium
BEL,2002,1.645,1.84,Belgium
BEL,2003,1.665,1.847,Belgium
BEL,2004,1.719,1.872,Belgium
BEL,2005,1.754,1.869,Belgium
BEL,2006,1.794,1.883,Belgium
BEL,2007,1.813,1.885,Belgium
BEL,2008,1.846,1.888,Belgium
BEL,2009,1.835,,Belgium
BEL,2010,1.849,,Belgium
BEL,2011,1.805,,Belgium
BEL,2012,1.784,,Belgium
BEL,2013,1.748,,Belgium
BEL,2014,1.733,,Belgium
BEL,2015,1.69,,Belgium
BEL,2016,1.675,,Belgium
BEL,2017,1.641,,Belgium
BEL,2018,1.616,,Belgium
BEL,2019,1.609,,Belgium
BEL,2020,1.575,,Belgium
BEL,2021,1.599,,Belgium
BEL,2022,1.547,,Belgium
BEL,2023,1.379,,Belgium
BGR,1960,2.309,,Bulgaria
BGR,1961,2.283,,Bulgaria
BGR,1962,2.232,,Bulgaria
BGR,1963,2.201,,Bulgaria
BGR,1964,2.175,,Bulgaria
BGR,1965,2.085,2.032,Bulgaria
BGR,1966,2.024,2.036,Bulgaria
BGR,1967,2.032,2.039,Bulgaria
BGR,1968,2.271,2.038,Bulgaria
BGR,1969,2.274,2.052,Bulgaria
BGR,1970,2.179,2.085,Bulgaria
BGR,1971,2.105,2.094,Bulgaria
BGR,1972,2.037,2.091,Bulgaria
BGR,1973,2.153,2.078,Bulgaria
BGR,1974,2.29,2.077,Bulgaria
BGR,1975,2.235,2.072,Bulgaria
BGR,1976,2.246,2.053,Bulgaria
BGR,1977,2.205,2.051,Bulgaria
BGR,1978,2.149,2.065,Bulgaria
BGR,1979,2.15,2.076,Bulgaria
BGR,1980,2.056,2.066,Bulgaria
BGR,1981,2.009,2.043,Bulgaria
BGR,1982,2.014,2.042,Bulgaria
BGR,1983,2.006,2.035,Bulgaria
BGR,1984,1.999,2.039,Bulgaria
BGR,1985,1.967,2.031,Bulgaria
BGR,1986,2.004,2.032,Bulgaria
BGR,1987,1.961,2.036,Bulgaria
BGR,1988,1.969,2.019,Bulgaria
BGR,1989,1.894,1.99,Bulgaria
BGR,1990,1.795,1.95,Bulgaria
BGR,1991,1.647,1.909,Bulgaria
BGR,1992,1.538,1.884,Bulgaria
BGR,1993,1.46,1.868,Bulgaria
BGR,1994,1.371,1.857,Bulgaria
BGR,1995,1.247,1.833,Bulgaria
BGR,1996,1.237,1.809,Bulgaria
BGR,1997,1.113,1.792,Bulgaria
BGR,1998,1.136,1.757,Bulgaria
BGR,1999,1.257,1.705,Bulgaria
BGR,2000,1.29,1.682,Bulgaria
BGR,2001,1.228,1.663,Bulgaria
BGR,2002,1.224,1.663,Bulgaria
BGR,2003,1.254,1.659,Bulgaria
BGR,2004,1.317,1.642,Bulgaria
BGR,2005,1.358,1.64,Bulgaria
BGR,2006,1.431,1.65,Bulgaria
BGR,2007,1.481,1.657,Bulgaria
BGR,2008,1.552,,Bulgaria
BGR,2009,1.642,,Bulgaria
BGR,2010,1.567,,Bulgaria
BGR,2011,1.505,,Bulgaria
BGR,2012,1.5,,Bulgaria
BGR,2013,1.482,,Bulgaria
BGR,2014,1.53,,Bulgaria
BGR,2015,1.528,,Bulgaria
BGR,2016,1.541,,Bulgaria
BGR,2017,1.557,,Bulgaria
BGR,2018,1.558,,Bulgaria
BGR,2019,1.58,,Bulgaria
BGR,2020,1.557,,Bulgaria
BGR,2021,1.586,,Bulgaria
BGR,2022,1.767,,Bulgaria
BGR,2023,1.749,,Bulgaria
BLR,1960,2.757,,Belarus
BLR,1961,2.673,,Belarus
BLR,1962,2.607,,Belarus
BLR,1963,2.479,,Belarus
BLR,1964,2.28,,Belarus
BLR,1965,2.229,,Belarus
BLR,1966,2.273,,Belarus
BLR,1967,2.245,,Belarus
BLR,1968,2.258,,Belarus
BLR,1969,2.232,,Belarus
BLR,1970,2.293,,Belarus
BLR,1971,2.313,,Belarus
BLR,1972,2.28,,Belarus
BLR,1973,2.206,,Belarus
BLR,1974,2.191,,Belarus
BLR,1975,2.133,,Belarus
BLR,1976,2.09,,Belarus
BLR,1977,2.061,,Belarus
BLR,1978,2.033,,Belarus
BLR,1979,1.996,1.968,Belarus
BLR,1980,1.983,1.938,Belarus
BLR,1981,1.989,1.964,Belarus
BLR,1982,1.99,1.928,Belarus
BLR,1983,2.134,1.886,Belarus
BLR,1984,2.078,1.915,Belarus
BLR,1985,2.041,1.931,Belarus
BLR,1986,2.126,1.926,Belarus
BLR,1987,2.055,1.924,Belarus
BLR,1988,2.07,1.921,Belarus
BLR,1989,1.978,1.891,Belarus
BLR,1990,1.86,1.873,Belarus
BLR,1991,1.752,1.857,Belarus
BLR,1992,1.704,1.815,Belarus
BLR,1993,1.577,1.736,Belarus
BLR,1994,1.486,1.684,Belarus
BLR,1995,1.369,1.689,Belarus
BLR,1996,1.307,1.7,Belarus
BLR,1997,1.223,1.713,Belarus
BLR,1998,1.268,1.709,Belarus
BLR,1999,1.263,1.694,Belarus
BLR,2000,1.272,1.665,Belarus
BLR,2001,1.241,1.618,Belarus
BLR,2002,1.202,1.585,Belarus
BLR,2003,1.192,1.575,Belarus
BLR,2004,1.196,1.574,Belarus
BLR,2005,1.221,,Belarus
BLR,2006,1.305,,Belarus
BLR,2007,1.394,,Belarus
BLR,2008,1.449,,Belarus
BLR,2009,1.481,,Belarus
