Table Order,Table 1
Table Title,Decomposition of Fertility Decline: Childlessness versus Fewer Children among the Parous in Advanced Economies
Source,
Note,"Decomposition compares cohorts separated by 20 years in 19 countries in the Human Fertility Database. Each observation is a country-cohort in the HFD, unweighted. The sample is smaller than in Figure 5 because a country must have two cohort-observations 20 years apart to be included. Some fractions may not add to one due to rounding. Full calculations are available in Geruso and Spears (2025b), which also lists the countries and cohorts included."

Category,Most recent cohort,Cohort 20 years before
Panel A. Sample means,,
Country-cohorts in sample,19,19
Average cohort year,1976.1,1956.1
Average completed fertility,1.77,2.01
Average completed fertility among parous,2.06,2.23
Average childlessness,0.14,0.1
Panel B. Kitagawa-like decomposition,,
Total difference in completed cohort fertility,0.25 births,
Difference in fertility among parous,0.18 births,
Difference in childlessness,4.4 percentage points,
Difference due to childlessness,"0.09 births, or 37% of gap",
Difference due to fertility among parous,"0.16 births, or 63% of gap",
