Regionsubregioncountryorar,year,TFR,ShadeLow,ShadeHigh,Panel,CCF,Title,Note,Source
Bulgaria,1960,2.309,,,A,,Figure 7: Period Rates Can Overstate Policy Impacts: Romanian Total Fertility Rate and Completed Cohort Fertility,Figure displays the period total fertility rates and completed cohort fertility for Romania. Cohorts are plotted at their date of birth plus 30 years. Decree 770 was in force from 1966 to 1989.,"TFR estimates are from the 2024 UN World Population Prospects (United Nations 2024). Completed cohort fertility estimates for Bulgaria are from the HFD, and for Romania are from Ghe__u (1997)."
Bulgaria,1961,2.283,,,A,,,,
Bulgaria,1962,2.2320001,,,A,,,,
Bulgaria,1963,2.201,,,A,,,,
Bulgaria,1964,2.175,,,A,,,,
Bulgaria,1965,2.085,,,A,,,,
Bulgaria,1966,2.0239999,1,3.7,A,,,,
Bulgaria,1967,2.0320001,1,3.7,A,,,,
Bulgaria,1968,2.2709999,1,3.7,A,,,,
Bulgaria,1969,2.2739999,1,3.7,A,,,,
Bulgaria,1970,2.1789999,1,3.7,A,,,,
Bulgaria,1971,2.105,1,3.7,A,,,,
Bulgaria,1972,2.0369999,1,3.7,A,,,,
Bulgaria,1973,2.1530001,1,3.7,A,,,,
Bulgaria,1974,2.29,1,3.7,A,,,,
Bulgaria,1975,2.2349999,1,3.7,A,,,,
Bulgaria,1976,2.2460001,1,3.7,A,,,,
Bulgaria,1977,2.2049999,1,3.7,A,,,,
Bulgaria,1978,2.1489999,1,3.7,A,,,,
Bulgaria,1979,2.1500001,1,3.7,A,,,,
Bulgaria,1980,2.056,1,3.7,A,,,,
Bulgaria,1981,2.0090001,1,3.7,A,,,,
Bulgaria,1982,2.0139999,1,3.7,A,,,,
Bulgaria,1983,2.006,1,3.7,A,,,,
Bulgaria,1984,1.999,1,3.7,A,,,,
Bulgaria,1985,1.967,1,3.7,A,,,,
Bulgaria,1986,2.0039999,1,3.7,A,,,,
Bulgaria,1987,1.961,1,3.7,A,,,,
Bulgaria,1988,1.969,1,3.7,A,,,,
Bulgaria,1989,1.8940001,1,3.7,A,,,,
Bulgaria,1990,1.795,,,A,,,,
Bulgaria,1991,1.647,,,A,,,,
Bulgaria,1992,1.538,,,A,,,,
Bulgaria,1993,1.46,,,A,,,,
Bulgaria,1994,1.3710001,,,A,,,,
Bulgaria,1995,1.247,,,A,,,,
Bulgaria,1996,1.237,,,A,,,,
Bulgaria,1997,1.113,,,A,,,,
Bulgaria,1998,1.136,,,A,,,,
Bulgaria,1999,1.257,,,A,,,,
Bulgaria,2000,1.29,,,A,,,,
Romania,1960,2.3180001,,,A,,,,
Romania,1961,2.1559999,,,A,,,,
Romania,1962,2.023,,,A,,,,
Romania,1963,1.987,,,A,,,,
Romania,1964,1.95,,,A,,,,
Romania,1965,1.903,,,A,,,,
Romania,1966,1.874,1,3.7,A,,,,
Romania,1967,3.5880001,1,3.7,A,,,,
Romania,1968,3.5350001,1,3.7,A,,,,
Romania,1969,3.112,1,3.7,A,,,,
Romania,1970,2.812,1,3.7,A,,,,
Romania,1971,2.598,1,3.7,A,,,,
Romania,1972,2.4790001,1,3.7,A,,,,
Romania,1973,2.3940001,1,3.7,A,,,,
Romania,1974,2.6600001,1,3.7,A,,,,
Romania,1975,2.595,1,3.7,A,,,,
Romania,1976,2.549,1,3.7,A,,,,
Romania,1977,2.566,1,3.7,A,,,,
Romania,1978,2.5220001,1,3.7,A,,,,
Romania,1979,2.49,1,3.7,A,,,,
Romania,1980,2.4349999,1,3.7,A,,,,
Romania,1981,2.3540001,1,3.7,A,,,,
Romania,1982,2.174,1,3.7,A,,,,
Romania,1983,2.0769999,1,3.7,A,,,,
Romania,1984,2.2509999,1,3.7,A,,,,
Romania,1985,2.309,1,3.7,A,,,,
Romania,1986,2.385,1,3.7,A,,,,
Romania,1987,2.3800001,1,3.7,A,,,,
Romania,1988,2.3069999,1,3.7,A,,,,
Romania,1989,2.204,1,3.7,A,,,,
Romania,1990,1.837,,,A,,,,
Romania,1991,1.6,,,A,,,,
Romania,1992,1.51,,,A,,,,
Romania,1993,1.437,,,A,,,,
Romania,1994,1.4,,,A,,,,
Romania,1995,1.337,,,A,,,,
Romania,1996,1.301,,,A,,,,
Romania,1997,1.317,,,A,,,,
Romania,1998,1.316,,,A,,,,
Romania,1999,1.304,,,A,,,,
Romania,2000,1.303,,,A,,,,
Bulgaria,1965,,,,B,2.032,,,
Bulgaria,1966,,1,3.7,B,2.036,,,
Bulgaria,1967,,1,3.7,B,2.039,,,
Bulgaria,1968,,1,3.7,B,2.038,,,
Bulgaria,1969,,1,3.7,B,2.052,,,
Bulgaria,1970,,1,3.7,B,2.085,,,
Bulgaria,1971,,1,3.7,B,2.094,,,
Bulgaria,1972,,1,3.7,B,2.091,,,
Bulgaria,1973,,1,3.7,B,2.078,,,
Bulgaria,1974,,1,3.7,B,2.077,,,
Bulgaria,1975,,1,3.7,B,2.072,,,
Bulgaria,1976,,1,3.7,B,2.053,,,
Bulgaria,1977,,1,3.7,B,2.051,,,
Bulgaria,1978,,1,3.7,B,2.065,,,
Bulgaria,1979,,1,3.7,B,2.076,,,
Bulgaria,1980,,1,3.7,B,2.066,,,
Bulgaria,1981,,1,3.7,B,2.043,,,
Bulgaria,1982,,1,3.7,B,2.042,,,
