regionsubregioncountryorar,year,tfr,shadelow,shadehigh,panel,Regionsubregioncountryorar,CCF,ShadeLow,ShadeHigh,Panel
Bulgaria,1960,2.309,,,A,,,,,
Bulgaria,1961,2.283,,,A,,,,,
Bulgaria,1962,2.2320001,,,A,,,,,
Bulgaria,1963,2.201,,,A,,,,,
Bulgaria,1964,2.175,,,A,,,,,
Bulgaria,1965,2.085,,,A,,,,,
Bulgaria,1966,2.0239999,1,3.7,A,,,,,
Bulgaria,1967,2.0320001,1,3.7,A,,,,,
Bulgaria,1968,2.2709999,1,3.7,A,,,,,
Bulgaria,1969,2.2739999,1,3.7,A,,,,,
Bulgaria,1970,2.1789999,1,3.7,A,,,,,
Bulgaria,1971,2.105,1,3.7,A,,,,,
Bulgaria,1972,2.0369999,1,3.7,A,,,,,
Bulgaria,1973,2.1530001,1,3.7,A,,,,,
Bulgaria,1974,2.29,1,3.7,A,,,,,
Bulgaria,1975,2.2349999,1,3.7,A,,,,,
Bulgaria,1976,2.2460001,1,3.7,A,,,,,
Bulgaria,1977,2.2049999,1,3.7,A,,,,,
Bulgaria,1978,2.1489999,1,3.7,A,,,,,
Bulgaria,1979,2.1500001,1,3.7,A,,,,,
Bulgaria,1980,2.056,1,3.7,A,,,,,
Bulgaria,1981,2.0090001,1,3.7,A,,,,,
Bulgaria,1982,2.0139999,1,3.7,A,,,,,
Bulgaria,1983,2.006,1,3.7,A,,,,,
Bulgaria,1984,1.999,1,3.7,A,,,,,
Bulgaria,1985,1.967,1,3.7,A,,,,,
Bulgaria,1986,2.0039999,1,3.7,A,,,,,
Bulgaria,1987,1.961,1,3.7,A,,,,,
Bulgaria,1988,1.969,1,3.7,A,,,,,
Bulgaria,1989,1.8940001,1,3.7,A,,,,,
Bulgaria,1990,1.795,,,A,,,,,
Bulgaria,1991,1.647,,,A,,,,,
Bulgaria,1992,1.538,,,A,,,,,
Bulgaria,1993,1.46,,,A,,,,,
Bulgaria,1994,1.3710001,,,A,,,,,
Bulgaria,1995,1.247,,,A,,,,,
Bulgaria,1996,1.237,,,A,,,,,
Bulgaria,1997,1.113,,,A,,,,,
Bulgaria,1998,1.136,,,A,,,,,
Bulgaria,1999,1.257,,,A,,,,,
Bulgaria,2000,1.29,,,A,,,,,
Romania,1960,2.3180001,,,A,,,,,
Romania,1961,2.1559999,,,A,,,,,
Romania,1962,2.023,,,A,,,,,
Romania,1963,1.987,,,A,,,,,
Romania,1964,1.95,,,A,,,,,
Romania,1965,1.903,,,A,,,,,
Romania,1966,1.874,1,3.7,A,,,,,
Romania,1967,3.5880001,1,3.7,A,,,,,
Romania,1968,3.5350001,1,3.7,A,,,,,
Romania,1969,3.112,1,3.7,A,,,,,
Romania,1970,2.812,1,3.7,A,,,,,
Romania,1971,2.598,1,3.7,A,,,,,
Romania,1972,2.4790001,1,3.7,A,,,,,
Romania,1973,2.3940001,1,3.7,A,,,,,
Romania,1974,2.6600001,1,3.7,A,,,,,
Romania,1975,2.595,1,3.7,A,,,,,
Romania,1976,2.549,1,3.7,A,,,,,
Romania,1977,2.566,1,3.7,A,,,,,
Romania,1978,2.5220001,1,3.7,A,,,,,
Romania,1979,2.49,1,3.7,A,,,,,
Romania,1980,2.4349999,1,3.7,A,,,,,
Romania,1981,2.3540001,1,3.7,A,,,,,
Romania,1982,2.174,1,3.7,A,,,,,
Romania,1983,2.0769999,1,3.7,A,,,,,
Romania,1984,2.2509999,1,3.7,A,,,,,
Romania,1985,2.309,1,3.7,A,,,,,
Romania,1986,2.385,1,3.7,A,,,,,
Romania,1987,2.3800001,1,3.7,A,,,,,
Romania,1988,2.3069999,1,3.7,A,,,,,
Romania,1989,2.204,1,3.7,A,,,,,
Romania,1990,1.837,,,A,,,,,
Romania,1991,1.6,,,A,,,,,
Romania,1992,1.51,,,A,,,,,
Romania,1993,1.437,,,A,,,,,
Romania,1994,1.4,,,A,,,,,
Romania,1995,1.337,,,A,,,,,
Romania,1996,1.301,,,A,,,,,
Romania,1997,1.317,,,A,,,,,
Romania,1998,1.316,,,A,,,,,
Romania,1999,1.304,,,A,,,,,
Romania,2000,1.303,,,A,,,,,
,1965,,,,,Bulgaria,2.032,,,B
,1966,,,,,Bulgaria,2.036,1,3.7,B
,1967,,,,,Bulgaria,2.039,1,3.7,B
,1968,,,,,Bulgaria,2.038,1,3.7,B
,1969,,,,,Bulgaria,2.052,1,3.7,B
,1970,,,,,Bulgaria,2.085,1,3.7,B
,1971,,,,,Bulgaria,2.094,1,3.7,B
,1972,,,,,Bulgaria,2.091,1,3.7,B
,1973,,,,,Bulgaria,2.078,1,3.7,B
,1974,,,,,Bulgaria,2.077,1,3.7,B
,1975,,,,,Bulgaria,2.072,1,3.7,B
