Figure Order,Figure 1
Figure Title,Evidence from Cross-Country Data in 1960 and 2010
Source,"For the y-axis: Total Fertility Rate is taken from the World Development Indicator SP.DYN.TFRT. IN (World Bank 2025). For the x-axis, panel A is the Human Capital Index from Barro and Lee (2013). Panel B is real GDP per capita from the World Development Indicator NY.GDP.PCAP.CD. Panel C is child mortality as defined as the probability (per 1,000 live births) that a newborn will die before reaching age five, based on the World Development Indicator SH.DYN.MORT. In Panel D, maternal mortality ratio is the estimated number of women who die from pregnancy-related causes while pregnant or within 42 days of pregnancy termination per 100,000 live births, taken from the World Development Indicator SH.STA.MMRT."
Note,"Time period: 1960 and 2010. Data on maternal mortality are not available prior to 1985."

Section,Economic factors
Legend color 1960,Pink/magenta dots
Legend color 2010,Blue dots

Panel,A
Panel A Title,Human capital
Panel A X-axis Label,Human Capital Index
Panel A X-axis Range,approximately 0 to 1
Panel A Y-axis Label,Total fertility rate
Panel A Y-axis Range,approximately 1.5 to 7.5
Panel A R_squared_1960,0.573
Panel A R_squared_2010,0.562
Panel A Description,Negative relationship between human capital index and TFR; both years show downward-sloping trend

Panel,B
Panel B Title,Log of per-capita GDP
Panel B X-axis Label,Log of real per-capita GDP
Panel B X-axis Range,approximately 6 to 10.5
Panel B Y-axis Label,Total fertility rate
Panel B Y-axis Range,approximately 1.5 to 7.5
Panel B R_squared_1960,0.492
Panel B R_squared_2010,0.562
Panel B Description,Negative relationship between log per-capita GDP and TFR

Section,Health factors

Panel,C
Panel C Title,Child mortality
Panel C X-axis Label,Child mortality
Panel C X-axis Tick Values,0; 100; 200; 300; 400
Panel C Y-axis Label,Total fertility rate
Panel C Y-axis Range,approximately 1.5 to 7.5
Panel C R_squared_1960,0.449
Panel C R_squared_2010,0.777
Panel C Description,Positive relationship between child mortality and TFR; strong fit especially for 2010

Panel,D
Panel D Title,Maternal mortality
Panel D X-axis Label,Maternal mortality
Panel D X-axis Tick Values,0; 500; 1000; 1500; 2000
Panel D Y-axis Label,Total fertility rate
Panel D Y-axis Range,approximately 1.5 to 7.5
Panel D R_squared_1985,0.499
Panel D R_squared_2010,0.665
Panel D Note,Data for 1985 used instead of 1960 due to data availability
Panel D Description,Positive relationship between maternal mortality and TFR
