Figure Order,Figure 1
Figure Title,"Visas Granted to Citizens of India, China, South Korea, Japan, and the Philippines"
Source,Author's calculations using data from US Department of State (2025).
Note,"F-1 visas apply to students, H-1B visas for high-skill workers, J-1 for exchange researchers/medical residents, and H-2A/B visas for agricultural and non-agricultural work, respectively. Data spans Fiscal Years 1997 to 2024."

X-axis Label,Year (Fiscal Year)
X-axis Tick Values,1997; 1999; 2001; 2003; 2005; 2007; 2009; 2011; 2013; 2015; 2017; 2019; 2021; 2023
Y-axis Label,Number of visas granted
Y-axis Tick Values,0; 50000; 100000; 150000; 200000; 250000; 300000; 350000; 400000

Legend — F-1,Blue line with filled circles — F-1 (student)
Legend — H-1B,Red line with filled circles — H-1B (high-skill worker)
Legend — J-1,Cyan/teal line with filled circles — J-1 (exchange/researchers and med residents)
Legend — H-2A,Green line with filled circles — H-2A (agricultural worker)
Legend — H-2B,Purple line with filled circles — H-2B (temp non-agri)

Data (approximate values),,,,,
year,F1_student,H1B_highskill,J1_exchange,H2A_agricultural,H2B_temp_nonagri
1997,100000,50000,17000,3000,2000
1998,95000,70000,18000,3000,2000
1999,90000,75000,19000,3500,2000
2000,100000,88000,20000,3500,2000
2001,110000,95000,20000,4000,2000
2002,105000,63000,18000,4000,2000
2003,90000,65000,18000,4000,2000
2004,85000,70000,20000,4500,2000
2005,90000,75000,22000,5000,2000
2006,100000,85000,25000,5500,3000
2007,108000,98000,30000,6000,4000
2008,115000,105000,35000,6500,4500
2009,120000,98000,38000,7000,4000
2010,130000,90000,43000,7500,4000
2011,150000,110000,50000,8000,5000
2012,175000,125000,55000,8000,5500
2013,205000,135000,60000,8500,6000
2014,240000,140000,65000,9000,7000
2015,310000,155000,67000,9500,7500
2016,350000,160000,70000,10000,8000
2017,395000,160000,73000,10000,8000
2018,380000,160000,75000,10000,8500
2019,250000,168000,75000,10000,9000
2020,170000,125000,28000,9000,5000
2021,150000,48000,18000,8000,3000
2022,200000,100000,30000,9000,4000
2023,240000,195000,50000,10000,8000
2024,235000,198000,52000,11000,9000
