Figure Order,Figure 1
Figure Title,Share of US Population Born Abroad by Major Asian Country
Source,"Author's calculations from the 1850—2010 Census and 2019 American Community Survey."
Note,This figure plots the population share of major Asian immigrant groups from 1850 to 2019.

X-axis Label,Year
X-axis Tick Values,1850; 1860; 1870; 1880; 1890; 1900; 1910; 1920; 1930; 1940; 1950; 1960; 1970; 1980; 1990; 2000; 2010; 2019
Y-axis Label,Share of US population (percent)
Y-axis Tick Values,0; 0.5; 1.0; 1.5; 2.0; 2.5; 3.0; 3.5; 4.0; 4.5
Chart Type,Stacked area chart

Vertical annotation,Immigration and Nationality Act (dashed vertical line at 1970)

Legend — Other Asian,Gray (top layer)
Legend — China,Blue
Legend — India,Pink/salmon
Legend — Philippines,Green
Legend — Vietnam,Yellow/olive
Legend — Korea,Cyan/light blue
Legend — Japan,Purple/magenta (bottom layer)

Approximate stacked area data (total share and approximate country contributions),,,,,,,
year,Japan_share,Korea_share,Vietnam_share,Philippines_share,India_share,China_share,OtherAsian_share,Total_share
1850,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03
1860,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09
1870,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.12
1880,0.00,0.00,0.00,0.00,0.00,0.20,0.02,0.22
1890,0.01,0.00,0.00,0.00,0.00,0.16,0.02,0.19
1900,0.02,0.00,0.00,0.00,0.00,0.13,0.03,0.18
1910,0.05,0.00,0.00,0.01,0.00,0.10,0.03,0.19
1920,0.07,0.00,0.00,0.01,0.00,0.09,0.03,0.20
1930,0.08,0.01,0.00,0.01,0.00,0.08,0.03,0.21
1940,0.08,0.01,0.00,0.01,0.00,0.07,0.03,0.20
1950,0.05,0.01,0.00,0.01,0.00,0.05,0.03,0.15
1960,0.10,0.02,0.00,0.02,0.01,0.06,0.04,0.25
1970,0.09,0.03,0.01,0.05,0.02,0.07,0.05,0.32
1980,0.11,0.15,0.08,0.22,0.09,0.18,0.30,1.13
1990,0.10,0.22,0.16,0.32,0.20,0.35,0.60,1.95
2000,0.10,0.28,0.22,0.40,0.30,0.50,0.90,2.70
2010,0.10,0.30,0.26,0.46,0.40,0.65,1.30,3.47
2019,0.10,0.27,0.26,0.48,0.50,0.70,1.90,4.21
