Table Order,Table 1
Table Title,By 2050 Nearly All Labor Force Aged Expansion Happens in Africa and South Asia
Source,"Author's calculations with IIASA data (K. C. et al. 2024) downloaded from Wittgenstein Centre Human Capital Explorer."
Note,

Region (number of countries),2020 15-64,2020 65+,2050 15-64,2050 65+,Change 2020 to 2050 15-64 Absolute,Change 2020 to 2050 15-64 %,Change 2020 to 2050 65+ Absolute,Change 2020 to 2050 65+ %,Region as percent of net increase in pop. 15-64
Early Transition to Lower Fertility Regions,,,,,,,,,
"Advanced, democratic, rich, industrial countries (32)",667,204,547,315,-121,-18.1%,111,54.4%,-12.0%
Europe (26),292,94,231,142,-61,-20.8%,48,-51.6%,-6.0%
"Japan, Korea, Australia, New Zealand (4)",131,50,94,69,-37,-28.6%,20,-39.4%,-3.7%
N. America (2),244,60,222,103,-23,-9.3%,43,-71.3%,-2.3%
China (1),996,177,784,387,-211,-21.2%,210,118.9%,-21.1%
Former USSR (23),272,56,248,90,-23,-8.6%,34,61.3%,-2.3%
Later Transition to Fertility Regions,,,,,,,,,
Latin America (38),437,57,490,144,53,12.1%,88,155.5%,5.3%
W. Asia/Middle East (16),235,20,306,77,71,30.0%,58,293.7%,7.0%
South East Asia and Pacific (22),458,49,524,135,66,14.3%,86,172.9%,6.6%
South Asia (8),1230,115,1600,303,370,30.1%,187,162.9%,37.0%
Africa (57),751,46,1549,140,798,106.2%,94,201.6%,79.6%
Total,5046,724,6048,1591,1003,19.90%,979,105.5%,100.0%
