Table Order,Table 2
Table Title,Implications of Meeting Labor Force Gaps with Permanent Migration
Source,"Pritchett (2024), Table 3."
Note,"The calculations in the first column use the UN Zero Migration scenario, 2020 labor force participation rates, and each country keeping its ratio of labor force to 65 plus constant at its own 2020 value."

Country/Region,Column I: Labor force gap 2050 (millions) sorted within region,Column II: Additional foreign-born in 2050 population if all labor force gap is filled by permanent modes of movement (millions) (= col I x 2.1),Column III: Percent of additional permanent migrants (over and above 2020 foreign born) in 2050 population
Spain,23.6,49.5,53.8%
Germany,22.8,47.8,39.5%
United Kingdom,18.1,38.0,36.5%
Italy,17.1,35.9,41.8%
Poland,13.6,28.6,45.9%
France,13.0,27.4,29.8%
Netherlands,5.1,10.6,38.3%
Switzerland,4.5,9.5,53.1%
Austria,3.7,7.8,48.8%
Eight mid-sized,22.2,46.7,41.0%
Nine smallest,6.9,14.4,37.4%
Europe,150.6,316.2,41.0%
United States,107.1,224.9,39.9%
Canada,15.7,32.9,47.0%
North America,122.8,257.8,40.7%
S. Korea,41.3,86.7,66.4%
Japan,23.1,48.6,32.6%
Australia,11.2,23.6,46.2%
New Zealand,2.1,4.4,45.6%
Asia and Pacific,77.8,163.3,47.9%
Total (32 countries),351.1,737.2,42.2%
