Figure Order,Figure 2
Figure Title,Age Profiles of Consumption and Labor Income
Source,National Transfer Accounts (2025).
Note,"Consumption includes private expenditures as well as government services imputed by age; labor income includes wages as well as imputed labor income of the self-employed and unpaid family workers."

X-axis Label,Age
X-axis Tick Values,0; 10; 20; 30; 40; 50; 60; 70; 80; 90
Y-axis Label,Relative to working age (20–64)
Y-axis Tick Values,0; 0.5; 1.0; 1.5; 2.0

Legend — Consumption,Red line
Legend — Labor income,Olive/yellow-green line

Data (approximate values read from chart),,
age,consumption_relative_to_working_age,labor_income_relative_to_working_age
0,0.42,0.00
1,0.47,0.00
2,0.52,0.00
3,0.57,0.00
4,0.60,0.00
5,0.65,0.00
6,0.68,0.00
7,0.71,0.00
8,0.74,0.00
9,0.77,0.00
10,0.80,0.00
11,0.82,0.00
12,0.84,0.00
13,0.87,0.00
14,0.88,0.00
15,0.90,0.00
16,0.92,0.00
17,0.96,0.00
18,1.00,0.02
19,1.05,0.06
20,1.04,0.10
21,0.97,0.20
22,0.94,0.35
23,0.93,0.52
24,0.93,0.68
25,0.92,0.78
26,0.91,0.84
27,0.91,0.88
28,0.92,0.92
29,0.92,0.96
30,0.91,1.00
31,0.91,1.06
32,0.91,1.10
33,0.91,1.14
34,0.91,1.17
35,0.91,1.20
36,0.92,1.22
37,0.93,1.24
38,0.94,1.25
39,0.96,1.26
40,0.97,1.25
41,0.99,1.25
42,1.00,1.25
43,1.02,1.25
44,1.03,1.25
45,1.04,1.24
46,1.06,1.23
47,1.08,1.22
48,1.09,1.21
49,1.10,1.20
50,1.11,1.19
51,1.12,1.17
52,1.13,1.15
53,1.14,1.13
54,1.15,1.10
55,1.16,1.05
56,1.17,0.98
57,1.18,0.90
58,1.19,0.80
59,1.19,0.68
60,1.19,0.55
61,1.22,0.42
62,1.25,0.30
63,1.28,0.20
64,1.32,0.13
65,1.35,0.09
66,1.37,0.07
67,1.38,0.06
68,1.38,0.06
69,1.38,0.06
70,1.37,0.06
71,1.37,0.06
72,1.37,0.06
73,1.37,0.06
74,1.37,0.06
75,1.38,0.06
76,1.40,0.06
77,1.43,0.06
78,1.47,0.05
79,1.52,0.05
80,1.58,0.05
81,1.63,0.05
82,1.67,0.05
83,1.70,0.05
84,1.73,0.05
85,1.75,0.04
86,1.77,0.04
87,1.78,0.04
88,1.79,0.04
89,1.79,0.04
90,1.80,0.04
