City,Year,RSMeanCostIndex,FHFAPriceIndex
"Atlanta, GA",1950,50,
"Atlanta, GA",1951,52,
"Atlanta, GA",1952,54,
"Atlanta, GA",1953,56,
"Atlanta, GA",1954,58,
"Atlanta, GA",1955,60,
"Atlanta, GA",1956,62,
"Atlanta, GA",1957,64,
"Atlanta, GA",1958,66,
"Atlanta, GA",1959,68,
"Atlanta, GA",1960,70,
"Atlanta, GA",1961,72,
"Atlanta, GA",1962,74,
"Atlanta, GA",1963,76,
"Atlanta, GA",1964,78,
"Atlanta, GA",1965,80,
"Atlanta, GA",1966,84,
"Atlanta, GA",1967,88,
"Atlanta, GA",1968,92,
"Atlanta, GA",1969,96,
"Atlanta, GA",1970,100,
"Atlanta, GA",1971,110,
"Atlanta, GA",1972,120,
"Atlanta, GA",1973,130,
"Atlanta, GA",1974,140,
"Atlanta, GA",1975,150,130
"Atlanta, GA",1976,166,146
"Atlanta, GA",1977,182,162
"Atlanta, GA",1978,198,178
"Atlanta, GA",1979,214,194
"Atlanta, GA",1980,230,210
"Atlanta, GA",1981,240,222
"Atlanta, GA",1982,250,234
"Atlanta, GA",1983,260,246
"Atlanta, GA",1984,270,258
"Atlanta, GA",1985,280,270
"Atlanta, GA",1986,290,286
"Atlanta, GA",1987,300,302
"Atlanta, GA",1988,310,318
"Atlanta, GA",1989,320,334
"Atlanta, GA",1990,330,350
"Atlanta, GA",1991,340,360
"Atlanta, GA",1992,350,370
"Atlanta, GA",1993,360,380
"Atlanta, GA",1994,370,390
"Atlanta, GA",1995,380,400
"Atlanta, GA",1996,394,426
"Atlanta, GA",1997,408,452
"Atlanta, GA",1998,422,478
"Atlanta, GA",1999,436,504
"Atlanta, GA",2000,450,530
"Atlanta, GA",2001,470,584
"Atlanta, GA",2002,490,638
"Atlanta, GA",2003,510,692
"Atlanta, GA",2004,530,746
"Atlanta, GA",2005,550,800
"Atlanta, GA",2006,570,850
"Atlanta, GA",2007,590,900
"Atlanta, GA",2008,610,850
"Atlanta, GA",2009,630,775
"Atlanta, GA",2010,650,700
"Atlanta, GA",2011,675,690
"Atlanta, GA",2012,700,680
"Atlanta, GA",2013,733,765
"Atlanta, GA",2014,767,850
"Atlanta, GA",2015,800,950
"Atlanta, GA",2016,850,1050
"Atlanta, GA",2017,900,1150
"Atlanta, GA",2018,950,1300
"Atlanta, GA",2019,1025,1450
"Atlanta, GA",2020,1100,1600
"Atlanta, GA",2021,1250,2000
"Atlanta, GA",2022,1400,2400
"Atlanta, GA",2023,1550,2550
"Atlanta, GA",2024,1700,2600
"Boston, MA",1950,50,
"Boston, MA",1951,52,
"Boston, MA",1952,54,
"Boston, MA",1953,56,
"Boston, MA",1954,58,
"Boston, MA",1955,60,
"Boston, MA",1956,62,
"Boston, MA",1957,64,
"Boston, MA",1958,66,
"Boston, MA",1959,68,
"Boston, MA",1960,70,
"Boston, MA",1961,73,
"Boston, MA",1962,76,
"Boston, MA",1963,79,
"Boston, MA",1964,82,
"Boston, MA",1965,85,
"Boston, MA",1966,90,
"Boston, MA",1967,95,
"Boston, MA",1968,100,
"Boston, MA",1969,105,
"Boston, MA",1970,110,
"Boston, MA",1971,122,
"Boston, MA",1972,134,
"Boston, MA",1973,146,
"Boston, MA",1974,158,
"Boston, MA",1975,170,150
"Boston, MA",1976,188,170
"Boston, MA",1977,206,190
"Boston, MA",1978,224,210
