Year,RSMeanCostIndex,CensusNormalizedCostIndex
1940,5.0,
1941,5.4,
1942,5.8,
1943,6.2,
1944,6.6,
1945,7.0,
1946,7.6,
1947,8.2,
1948,8.8,
1949,9.4,
1950,10.0,
1951,10.8,
1952,11.6,
1953,12.4,
1954,13.2,
1955,14.0,
1956,14.6,
1957,15.2,
1958,15.8,
1959,16.4,
1960,17.0,
1961,17.6,
1962,18.2,
1963,18.8,
1964,19.4,
1965,20.0,20.0
1966,21.0,21.0
1967,22.0,22.0
1968,23.7,23.7
1969,25.3,25.3
1970,27.0,27.0
1971,29.5,30.0
1972,32.0,33.0
1973,35.0,36.5
1974,38.0,40.0
1975,41.5,44.0
1976,45.0,48.0
1977,49.0,51.5
1978,53.0,55.0
1979,57.5,60.0
1980,62.0,65.0
1981,65.0,67.5
1982,68.0,70.0
1983,70.0,71.5
1984,72.0,73.0
1985,74.0,75.5
1986,76.0,78.0
1987,79.0,81.0
1988,82.0,84.0
1989,85.0,87.0
1990,88.0,90.0
1991,90.5,91.0
1992,93.0,92.0
1993,94.5,93.5
1994,96.0,95.0
1995,98.0,96.5
1996,100.0,98.0
1997,102.5,100.0
1998,105.0,102.0
1999,107.5,103.5
2000,110.0,105.0
2001,114.0,110.0
2002,118.0,115.0
2003,121.5,125.0
2004,125.0,135.0
2005,130.0,148.0
2006,135.0,160.0
2007,141.5,170.0
2008,148.0,178.0
2009,154.0,175.0
2010,160.0,170.0
2011,165.0,168.0
2012,170.0,163.0
2013,172.0,160.0
2014,175.0,162.0
2015,178.0,165.0
2016,185.0,175.0
2017,192.0,185.0
2018,200.0,195.0
2019,207.0,205.0
2020,210.0,210.0
2021,225.0,230.0
2022,250.0,240.0
2023,275.0,280.0
2024,295.0,315.0
