Year,ShillerHomePriceIndex,RSMeans,FHFA,GrossOutputIndex,CPI
1950,0.0,0.0,,0.0,0.0
1951,2.0,2.0,,-0.4,0.0
1952,4.0,4.0,,-0.8,0.0
1953,6.0,6.0,,-1.2,0.0
1954,8.0,8.0,,-1.6,0.0
1955,10.0,10.0,,-2.0,0.0
1956,8.6,9.6,,-2.6,0.0
1957,7.2,9.2,,-3.2,0.0
1958,5.8,8.8,,-3.8,0.0
1959,4.4,8.4,,-4.4,0.0
1960,3.0,8.0,,-5.0,0.0
1961,2.0,7.0,,-5.0,-0.2
1962,1.0,6.0,,-5.0,-0.4
1963,0.0,5.0,,-5.0,-0.6
1964,-1.0,4.0,,-5.0,-0.8
1965,-2.0,3.0,,-5.0,-1.0
1966,-1.6,2.4,,-4.6,-1.2
1967,-1.2,1.8,,-4.2,-1.4
1968,-0.8,1.2,,-3.8,-1.6
1969,-0.4,0.6,,-3.4,-1.8
1970,0.0,0.0,,-3.0,-2.0
1971,0.6,0.6,,-2.4,-1.6
1972,1.2,1.2,,-1.8,-1.2
1973,1.8,1.8,,-1.2,-0.8
1974,2.4,2.4,,-0.6,-0.4
1975,3.0,3.0,3.0,0.0,0.0
1976,6.4,7.4,6.4,4.4,1.4
1977,9.8,11.8,9.8,8.8,2.8
1978,13.2,16.2,13.2,13.2,4.2
1979,16.6,20.6,16.6,17.6,5.6
1980,20.0,25.0,20.0,22.0,7.0
1981,20.4,26.4,19.0,20.0,7.2
1982,20.8,27.8,18.0,18.0,7.4
1983,21.2,29.2,17.0,16.0,7.6
1984,21.6,30.6,16.0,14.0,7.8
1985,22.0,32.0,15.0,12.0,8.0
1986,23.6,34.6,16.4,11.6,8.4
1987,25.2,37.2,17.8,11.2,8.8
1988,26.8,39.8,19.2,10.8,9.2
1989,28.4,42.4,20.6,10.4,9.6
1990,30.0,45.0,22.0,10.0,10.0
1991,27.6,44.4,21.6,10.4,10.4
1992,25.2,43.8,21.2,10.8,10.8
1993,22.8,43.2,20.8,11.2,11.2
1994,20.4,42.6,20.4,11.6,11.6
1995,18.0,42.0,20.0,12.0,12.0
1996,23.8,43.0,23.0,14.6,12.6
1997,29.6,44.0,26.0,17.2,13.2
1998,35.4,45.0,29.0,19.8,13.8
1999,41.2,46.0,32.0,22.4,14.4
2000,47.0,47.0,35.0,25.0,15.0
2001,60.6,49.0,45.4,29.4,15.6
2002,74.2,51.0,55.8,33.8,16.2
2003,87.8,53.0,66.2,38.2,16.8
2004,101.4,55.0,76.6,42.6,17.4
2005,115.0,57.0,87.0,47.0,18.0
2006,107.0,61.6,82.6,44.6,18.4
2007,99.0,66.2,78.2,42.2,18.8
2008,91.0,70.8,73.8,39.8,19.2
2009,83.0,75.4,69.4,37.4,19.6
2010,75.0,80.0,65.0,35.0,20.0
2011,76.0,82.0,64.4,40.0,19.6
2012,77.0,84.0,63.8,45.0,19.2
2013,78.0,86.0,63.2,50.0,18.8
2014,79.0,88.0,62.6,55.0,18.4
2015,80.0,90.0,62.0,60.0,18.0
2016,83.0,91.0,64.0,60.4,18.4
2017,86.0,92.0,66.0,60.8,18.8
2018,89.0,93.0,68.0,61.2,19.2
2019,92.0,94.0,70.0,61.6,19.6
2020,95.0,95.0,72.0,62.0,20.0
2021,113.8,98.8,79.0,69.0,21.8
2022,132.5,102.5,86.0,76.0,23.5
2023,151.2,106.2,93.0,83.0,25.2
2024,170.0,110.0,100.0,90.0,27.0
