CumulativePriceCostRatio,series80_85,series80_90,series80_95,series80_00,series80_05,series80_10,series80_15,series80_20,series80_24
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.02,0.05,0.05,0.02,0.02
0.6,0.01,0.03,0.03,0.02,0.1,0.25,0.25,0.1,0.1
0.65,0.05,0.15,0.15,0.08,0.45,0.65,0.65,0.25,0.25
0.7,0.3,0.55,0.45,0.2,0.9,1.1,1.1,0.55,0.48
0.75,1.0,1.05,0.7,0.4,1.25,1.4,1.42,0.8,0.65
0.8,2.1,1.45,1.0,0.6,1.5,1.55,1.58,1.0,0.78
0.85,3.0,1.7,1.4,0.8,1.55,1.5,1.55,1.12,0.88
0.9,3.15,1.88,1.8,1.0,1.42,1.3,1.3,1.18,0.95
0.95,2.2,1.8,2.2,1.2,1.25,1.1,1.05,1.2,0.99
1.0,1.0,1.3,2.55,1.4,1.1,0.9,0.82,1.1,1.0
1.05,0.4,0.95,2.8,1.55,1.0,0.7,0.62,0.98,0.95
1.1,0.12,0.6,2.95,1.75,0.9,0.55,0.48,0.82,0.85
1.15,0.04,0.4,2.9,1.88,0.8,0.45,0.38,0.68,0.75
1.2,0.01,0.25,2.3,1.88,0.65,0.38,0.28,0.55,0.65
1.25,0.0,0.15,1.5,1.7,0.5,0.3,0.2,0.42,0.55
1.3,0.0,0.08,0.85,1.4,0.4,0.22,0.14,0.32,0.48
1.35,0.0,0.04,0.5,1.1,0.3,0.17,0.105,0.24,0.42
1.4,0.0,0.02,0.3,0.8,0.22,0.12,0.07,0.18,0.36
1.45,0.0,0.015,0.15,0.55,0.17,0.09,0.05,0.14,0.3
1.5,0.0,0.01,0.08,0.38,0.12,0.06,0.03,0.1,0.25
1.55,0.0,0.005,0.04,0.25,0.09,0.045,0.025,0.08,0.2
1.6,0.0,0.0,0.02,0.15,0.06,0.03,0.02,0.06,0.16
1.65,0.0,0.0,0.01,0.1,0.045,0.025,0.015,0.05,0.13
1.7,0.0,0.0,0.0,0.06,0.03,0.02,0.01,0.04,0.1
1.75,0.0,0.0,0.0,0.04,0.025,0.015,0.005,0.03,0.08
1.8,0.0,0.0,0.0,0.02,0.02,0.01,0.0,0.02,0.06
1.85,0.0,0.0,0.0,0.015,0.017,0.007,0.0,0.017,0.05
1.9,0.0,0.0,0.0,0.01,0.015,0.005,0.0,0.015,0.04
1.95,0.0,0.0,0.0,0.005,0.013,0.003,0.0,0.013,0.035
2.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.03
2.05,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.008,0.025
2.1,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.007,0.02
2.15,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.005,0.015
2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.01
2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.009
2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008
2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008
2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007
2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003
2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
