RSMeansCost,ZillowMedianPrice,Correlation,NumberOfMSAs
215000,290000,0.487,100
215000,195000,0.487,100
218000,350000,0.487,100
218000,310000,0.487,100
220000,445000,0.487,100
220000,370000,0.487,100
220000,340000,0.487,100
220000,260000,0.487,100
220000,210000,0.487,100
222000,440000,0.487,100
222000,400000,0.487,100
222000,365000,0.487,100
222000,335000,0.487,100
222000,310000,0.487,100
225000,475000,0.487,100
225000,380000,0.487,100
225000,355000,0.487,100
225000,330000,0.487,100
225000,250000,0.487,100
228000,480000,0.487,100
228000,395000,0.487,100
228000,365000,0.487,100
228000,340000,0.487,100
228000,250000,0.487,100
230000,470000,0.487,100
230000,390000,0.487,100
230000,370000,0.487,100
230000,280000,0.487,100
232000,455000,0.487,100
232000,380000,0.487,100
232000,350000,0.487,100
232000,260000,0.487,100
235000,500000,0.487,100
235000,390000,0.487,100
235000,360000,0.487,100
235000,340000,0.487,100
235000,250000,0.487,100
238000,480000,0.487,100
238000,400000,0.487,100
238000,350000,0.487,100
238000,270000,0.487,100
240000,500000,0.487,100
240000,395000,0.487,100
242000,310000,0.487,100
242000,250000,0.487,100
245000,480000,0.487,100
245000,380000,0.487,100
245000,290000,0.487,100
248000,570000,0.487,100
248000,400000,0.487,100
250000,580000,0.487,100
250000,560000,0.487,100
250000,490000,0.487,100
252000,290000,0.487,100
255000,550000,0.487,100
255000,310000,0.487,100
255000,250000,0.487,100
258000,530000,0.487,100
258000,310000,0.487,100
260000,485000,0.487,100
260000,330000,0.487,100
262000,300000,0.487,100
262000,250000,0.487,100
265000,550000,0.487,100
265000,350000,0.487,100
268000,530000,0.487,100
270000,310000,0.487,100
270000,250000,0.487,100
272000,320000,0.487,100
275000,720000,0.487,100
278000,380000,0.487,100
280000,440000,0.487,100
282000,350000,0.487,100
285000,600000,0.487,100
288000,440000,0.487,100
290000,450000,0.487,100
292000,870000,0.487,100
295000,530000,0.487,100
298000,850000,0.487,100
300000,940000,0.487,100
300000,520000,0.487,100
302000,440000,0.487,100
305000,870000,0.487,100
308000,500000,0.487,100
310000,430000,0.487,100
310000,350000,0.487,100
315000,620000,0.487,100
318000,370000,0.487,100
320000,530000,0.487,100
325000,360000,0.487,100
328000,350000,0.487,100
335000,360000,0.487,100
340000,1500000,0.487,100
342000,620000,0.487,100
345000,1050000,0.487,100
348000,430000,0.487,100
350000,500000,0.487,100
355000,620000,0.487,100
275000,440000,0.487,100
312000,290000,0.487,100
