RSMeansCostSqft,ZillowNewConstPriceSqft,Correlation,NumberOfMSAs
108,160,0.766,74
108,150,0.766,74
110,200,0.766,74
110,190,0.766,74
110,170,0.766,74
111,205,0.766,74
112,250,0.766,74
112,240,0.766,74
112,210,0.766,74
112,165,0.766,74
113,260,0.766,74
113,230,0.766,74
113,200,0.766,74
114,250,0.766,74
114,225,0.766,74
114,195,0.766,74
114,160,0.766,74
115,240,0.766,74
115,220,0.766,74
115,175,0.766,74
116,260,0.766,74
116,235,0.766,74
116,200,0.766,74
117,395,0.766,74
117,225,0.766,74
118,250,0.766,74
118,215,0.766,74
118,185,0.766,74
119,195,0.766,74
120,270,0.766,74
120,240,0.766,74
120,195,0.766,74
120,180,0.766,74
122,275,0.766,74
122,190,0.766,74
123,260,0.766,74
124,185,0.766,74
125,290,0.766,74
126,280,0.766,74
127,195,0.766,74
128,305,0.766,74
128,190,0.766,74
130,310,0.766,74
130,225,0.766,74
132,300,0.766,74
133,235,0.766,74
135,240,0.766,74
135,225,0.766,74
137,320,0.766,74
138,330,0.766,74
140,310,0.766,74
140,290,0.766,74
142,450,0.766,74
142,305,0.766,74
143,340,0.766,74
144,335,0.766,74
145,300,0.766,74
145,240,0.766,74
148,310,0.766,74
150,625,0.766,74
150,340,0.766,74
152,335,0.766,74
155,230,0.766,74
158,285,0.766,74
160,280,0.766,74
162,215,0.766,74
165,490,0.766,74
170,850,0.766,74
172,340,0.766,74
175,760,0.766,74
180,520,0.766,74
116,180,0.766,74
132,265,0.766,74
148,230,0.766,74
