year,TFR,FractionPopTFRsub2
1950,4.852,.00012004011
1951,4.816,.00011859136
1952,5.001,.00075907493
1953,4.922,.00075057521
1954,4.998,.00076474686
1955,5.003,.00077615067
1956,4.931,.0011722274
1957,5.068,.0011383528
1958,4.932,.0011262272
1959,4.74,.001116629
1960,4.696,.033207107
1961,4.571,.036247116
1962,5.022,.035952441
1963,5.308,.041370127
1964,5.123,.040758908
1965,5.071,.023496123
1966,4.961,.03974545
1967,4.852,.0038817625
1968,4.963,.040132668
1969,4.866,.047636636
1970,4.825,.014255717
1971,4.679,.033063307
1972,4.545,.036295772
1973,4.416,.10069083
1974,4.259,.11220811
1975,4.08,.15273297
1976,3.974,.18366432
1977,3.85,.20714895
1978,3.787,.21051368
1979,3.771,.21124743
1980,3.744,.21205692
1981,3.711,.21254633
1982,3.712,.18826157
1983,3.581,.17574933
1984,3.553,.18399596
1985,3.515,.18666807
1986,3.504,.18277295
1987,3.476,.18140861
1988,3.39,.17917067
1989,3.347,.14020301
1990,3.31,.17076255
1991,3.131,.38528267
1992,3.044,.39170322
1993,2.98,.40130189
1994,2.933,.44625095
1995,2.889,.44305471
1996,2.846,.44090983
1997,2.809,.43969268
1998,2.776,.4414328
1999,2.75,.45008853
2000,2.754,.39917433
2001,2.714,.3981652
2002,2.684,.39738169
2003,2.659,.40408164
2004,2.647,.42983139
2005,2.63,.42660916
2006,2.625,.42259157
2007,2.623,.42027009
2008,2.626,.41474539
2009,2.621,.45791945
2010,2.602,.44601616
2011,2.588,.45911825
2012,2.607,.45528844
2013,2.572,.45249811
2014,2.564,.43692026
2015,2.537,.42349806
2016,2.536,.426294
2017,2.504,.43771389
2018,2.437,.44634455
2019,2.397,.46028662
2020,2.322,.47622004
2021,2.291,.49200991
2022,2.265,.66650885
2023,2.251,.6707744
