CCF,CEBParous,r2,inplotlabel
,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.436,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.41,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.339,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.202,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.132,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.065,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
2.037,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.983,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.953,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.938,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.986,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.931,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.916,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.908,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.863,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.835,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.812,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.817,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.784,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.768,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.746,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.73,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.713,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.714,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.698,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.676,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.675,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.667,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.652,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.657,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.64,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.626,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.61,,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.615,2.0365701,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.624,2.0427673,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.634,2.0501883,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.651,2.0689223,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.661,2.0710723,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.661,2.0684931,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.652,2.0598505,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
1.642,2.0576441,0.80,"in 279 of 705 country-cohorts, the average number of children ever born among parous women was below 2.1"
